Temperature - (Celsius),Year,Month,umd_tree_cover_loss__ha,gfw_gross_emissions_co2e_all_gases__Mg
8.57782,2001,January,191.3022295398937,63629.00528881853
11.7034,2001,February,191.3022295398937,63629.00528881853
28.9762,2001,June,191.3022295398937,63629.00528881853
28.5291,2001,July,191.3022295398937,63629.00528881853
16.3373,2001,November,191.3022295398937,63629.00528881853
12.4597,2001,December,191.3022295398937,63629.00528881853
9.43203,2002,January,311.2960485336231,110694.90181154876
10.872,2002,February,311.2960485336231,110694.90181154876
29.4699,2002,June,311.2960485336231,110694.90181154876
29.0707,2002,July,311.2960485336231,110694.90181154876
16.2022,2002,November,311.2960485336231,110694.90181154876
11.368,2002,December,311.2960485336231,110694.90181154876
9.47909,2003,January,591.4408113898331,231356.19548995676
11.7875,2003,February,591.4408113898331,231356.19548995676
29.6845,2003,June,591.4408113898331,231356.19548995676
28.4658,2003,July,591.4408113898331,231356.19548995676
14.7137,2003,November,591.4408113898331,231356.19548995676
10.7938,2003,December,591.4408113898331,231356.19548995676
9.87077,2004,January,1087.5003577924817,322506.26450591447
12.7219,2004,February,1087.5003577924817,322506.26450591447
28.8135,2004,June,1087.5003577924817,322506.26450591447
28.9904,2004,July,1087.5003577924817,322506.26450591447
16.6354,2004,November,1087.5003577924817,322506.26450591447
11.7563,2004,December,1087.5003577924817,322506.26450591447
8.35979,2005,January,910.7826261164147,224287.7126002524
9.7477,2005,February,910.7826261164147,224287.7126002524
29.4413,2005,June,910.7826261164147,224287.7126002524
28.6651,2005,July,910.7826261164147,224287.7126002524
15.838,2005,November,910.7826261164147,224287.7126002524
10.5205,2005,December,910.7826261164147,224287.7126002524
8.68721,2006,January,1261.4627087359736,326643.33670627384
14.6439,2006,February,1261.4627087359736,326643.33670627384
28.4014,2006,June,1261.4627087359736,326643.33670627384
29.4468,2006,July,1261.4627087359736,326643.33670627384
16.4192,2006,November,1261.4627087359736,326643.33670627384
10.2379,2006,December,1261.4627087359736,326643.33670627384
9.10904,2007,January,1083.7513602606707,266685.0002960341
12.3171,2007,February,1083.7513602606707,266685.0002960341
28.8231,2007,June,1083.7513602606707,266685.0002960341
28.6904,2007,July,1083.7513602606707,266685.0002960341
16.9521,2007,November,1083.7513602606707,266685.0002960341
10.2164,2007,December,1083.7513602606707,266685.0002960341
6.83578,2008,January,995.0315204717086,312934.1966533485
9.89503,2008,February,995.0315204717086,312934.1966533485
29.8011,2008,June,995.0315204717086,312934.1966533485
29.0324,2008,July,995.0315204717086,312934.1966533485
15.8319,2008,November,995.0315204717086,312934.1966533485
11.7252,2008,December,995.0315204717086,312934.1966533485
10.0305,2009,January,878.9316755691526,218915.48815133292
13.0069,2009,February,878.9316755691526,218915.48815133292
28.5178,2009,June,878.9316755691526,218915.48815133292
29.3437,2009,July,878.9316755691526,218915.48815133292
15.3006,2009,November,878.9316755691526,218915.48815133292
11.3757,2009,December,878.9316755691526,218915.48815133292
10.2605,2010,January,690.4401956341085,174206.99383190507
11.7885,2010,February,690.4401956341085,174206.99383190507
28.5066,2010,June,690.4401956341085,174206.99383190507
28.729,2010,July,690.4401956341085,174206.99383190507
15.8396,2010,November,690.4401956341085,174206.99383190507
9.97607,2010,December,690.4401956341085,174206.99383190507
8.38794,2011,January,449.8901996243813,128354.8932766584
11.4127,2011,February,449.8901996243813,128354.8932766584
29.9848,2011,June,449.8901996243813,128354.8932766584
28.8677,2011,July,449.8901996243813,128354.8932766584
17.3903,2011,November,449.8901996243813,128354.8932766584
10.1934,2011,December,449.8901996243813,128354.8932766584
7.89622,2012,January,223.22592050414605,76324.46396026507
9.10051,2012,February,223.22592050414605,76324.46396026507
29.0143,2012,June,223.22592050414605,76324.46396026507
29.6738,2012,July,223.22592050414605,76324.46396026507
15.7487,2012,November,223.22592050414605,76324.46396026507
10.9512,2012,December,223.22592050414605,76324.46396026507
9.2059,2013,January,58.0210016734288,23283.621768973528
10.7169,2013,February,58.0210016734288,23283.621768973528
29.8533,2013,June,58.0210016734288,23283.621768973528
29.5909,2013,July,58.0210016734288,23283.621768973528
15.7483,2013,November,58.0210016734288,23283.621768973528
10.9647,2013,December,58.0210016734288,23283.621768973528
9.22441,2014,January,34.82787293223199,15038.451740047332
10.135,2014,February,34.82787293223199,15038.451740047332
30.3058,2014,June,34.82787293223199,15038.451740047332
29.8137,2014,July,34.82787293223199,15038.451740047332
15.8981,2014,November,34.82787293223199,15038.451740047332
10.0999,2014,December,34.82787293223199,15038.451740047332
9.50221,2015,January,2.416088260494792,1075.4388952648285
10.567,2015,February,2.416088260494792,1075.4388952648285
29.4065,2015,June,2.416088260494792,1075.4388952648285
28.7141,2015,July,2.416088260494792,1075.4388952648285
16.2182,2015,November,2.416088260494792,1075.4388952648285
10.8177,2015,December,2.416088260494792,1075.4388952648285
